OBJECTID,FIRST_RURB,MUNICIPALI,REGION,ZIPCODE,PROVINCE,KM_DIST,BRGY,OLD_NAME,RUR_URB,DISTRICT,CITY_CLASS,INCOME_CLA,REG_VOTERS,LAND_AREA2,ISLAND1,ISLAND2,ISLAND3,TOTPOP2000,HSEPOP2000,HSEHOLDS20,TOTPOP2007,TOTPOP2010,SHAPE_LENG,SHAPE_AREA,GEOCODE,PGEOCODE
997,RP072236,PILAR,VII,6048,CEBU,,13,PILAR,Partially Urban,5th,N,5th Class,8662,3242,VISAYAS,CAMOTES ISLAND,Ponson Island,11226,11226,2638,11941,11564,0.25300440124,0.0028724571,"166716000","166700000"
1094,RP072244,SANTA FE,VII,6047,CEBU,"000",10,STA. FE,Partially Urban,4th,N,4th Class,13820,2805,VISAYAS,BANTAYAN ISLAND,Bantayan Island,22956,22938,4444,26826,27270,0.16463218909,0.001544239,"083744000","083700000"
1095,RP072244,SANTA FE,VII,6047,CEBU,"000",10,STA. FE,Partially Urban,4th,N,4th Class,13820,2805,VISAYAS,BANTAYAN ISLAND,Jilantangan Island,22956,22938,4444,26826,27270,0.07455905166,0.00035423637,"083744000","083700000"
1097,RP072244,SANTA FE,VII,6047,CEBU,"000",10,STA. FE,Partially Urban,4th,N,4th Class,13820,2805,VISAYAS,GUINTACAN ISLAND,Guintacan Island,22956,22938,4444,26826,27270,0.13435681588,0.00075902139,"083744000","083700000"
1294,RP072241,SAN FERNANDO,VII,6018,CEBU,"030",21,SAN FERNANDO,Partially Urban,1st,N,2nd Class,32577,6939,VISAYAS,CEBU ISLAND,Cebu Island,48235,48230,9350,54932,60970,0.30853997857,0.00465026096,"101318000","101300000"
1848,RP072201,ALCANTARA,VII,6033,CEBU,"065",9,ALCANTARA,Partially Urban,2nd,N,5th Class,9275,3520,VISAYAS,CEBU ISLAND,Cebu Island,0,0,0,0,13556,0.00867694503,5.26668e-06,"072201000","072200000"
1849,RP072201,ALCANTARA,VII,6033,CEBU,"065",9,ALCANTARA,Partially Urban,2nd,N,5th Class,9275,3520,VISAYAS,CEBU ISLAND,Cebu Island,0,0,0,0,13556,0.28455937689,0.00283784033,"072201000","072200000"
2548,RP072243,SAN REMIGIO,VII,6011,CEBU,"109",27,SAN REMIGIO,Partially Urban,4th,N,3rd Class,30106,9527,VISAYAS,CEBU ISLAND,Cebu Island,44028,44028,9253,47826,51394,0.6078027896,0.00907952738,"072243000","072200000"
2667,RP072203,ALEGRIA,VII,6030,CEBU,"117",9,ALEGRIA,Partially Urban,2nd,N,4th Class,12759,8949,VISAYAS,CEBU ISLAND,Cebu Island,20677,20653,4229,21699,22072,0.32510669409,0.00656687002,"166701000","166700000"
2668,RP072207,BADIAN,VII,6031,CEBU,"098",29,BADIAN,Partially Urban,2nd,N,3rd Class,21738,11007,VISAYAS,CEBU ISLAND,Zaragosa Island,30400,30394,6230,35876,37699,0.05207071554,0.00017267632,"072207000","072200000"
2669,RP072207,BADIAN,VII,6031,CEBU,"098",29,BADIAN,Partially Urban,2nd,N,3rd Class,21738,11007,VISAYAS,CEBU ISLAND,Cebu Island,30400,30394,6230,35876,37699,0.40311360265,0.00757578848,"072207000","072200000"
2670,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Lipayran Island,0,0,0,0,74785,0.00939531236,6.23596e-06,"072209000","072200000"
2671,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Lipayran Island,0,0,0,0,74785,0.01697398723,1.685901e-05,"072209000","072200000"
2672,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Lipayran Island,0,0,0,0,74785,0.04639929779,0.00013140548,"072209000","072200000"
